,Author,Title,State,District,DateBan,Country,Description
2433,"Walls, Jeannette",The Glass Castle,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
2434,"Walls, Jeannette",The Glass Castle,Wisconsin,School District of Waukesha,2021-12-01,USA,Banned in Libraries
2435,"Walther, K. L.",If We Were Us,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2436,"Walton, Jessica",Introducing Teddy,Indiana,Carmel Clay Schools,2021-07-01,USA,Banned Pending Investigation
2437,"Walton, K. M.",Empty,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
2438,"Wang, Jen",The Prince and the Dressmaker,Idaho,Nampa School District,2022-05-01,USA,Banned in Libraries and Classrooms
2439,"Ward, Jesmyn",Salvage the Bones (Bois Sauvage Series),Texas,Katy Independent School District,2022-01-01,USA,Banned Pending Investigation
2440,"Ward, Sarah",Aesop Lake,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2441,"Warga, Jasmine",Other Words for Home,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2442,"Warga, Jasmine",The Shape of Thunder,North Carolina,Wilkes County School District,2022-06-01,USA,Banned in Classrooms
2443,"Waters, Erica",Ghost Wood Song,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2444,"Watson, Renée",Harlem's Little Blackbird: The Story of Florence Mills,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2445,"Watson, Renée",Piecing Me Together,Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
2446,"Weatherford, Carole Boston",Before John Was a Jazz Giant: A Song of John Coltrane,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2447,"Weatherford, Carole Boston",Freedom in Congo Square,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2448,"Weatherford, Carole Boston",Gordon Parks: How the Photographer Captured Black and White America,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2449,"Weingarten, Lynn",Suicide Notes From Beautiful Girls,Oklahoma,Bristow Public Schools,2021-10-01,USA,Banned in Classrooms
2450,"Weir, Meghan MacLean",The Book of Essie,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2451,"Wells, Maggie",Luciana (Nine Months Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2452,"Wells, Rosemary",Yoko (Yoko Series),Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2453,"Wersba, Barbara",Whistle Me Home,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2454,"Wersba, Barbara",Whistle Me Home,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2455,"West, Catherine Adel",Saving Ruby King,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2456,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2457,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2458,"Westerfeld, Scott",Afterworlds (Afterworlds Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2459,"Westerfeld, Scott",Uglies (Uglies Series),Mississippi,Madison County Schools,2022-04-01,USA,Banned in Libraries
2460,"Weyer, Hannah","On the Come Up: A Novel, Based on a True Story",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2461,WGBH Kids,Molly of Denali: Berry Itchy Day,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2462,"Whaley, John Corey",Highly Illogical Behavior,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2463,"Whaley, John Corey",Highly Illogical Behavior,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
